Quest,Description
Coming to Limsa Lominsa,"To be recognized as an adventurer in the city–state of Limsa Lominsa, you must register yourself with the Adventurers' Guild."
Close to Home,"Baderon, proprietor of the Drowning Wench, wants you to perform three tasks that will help you learn the fundamentals of adventuring."
On to Summerford,"Baderon, proprietor of the Drowning Wench, wants you to lend a hand at Summerford Farms."
Dressed to Call,"Staelwyrn, owner of Summerford Farms, wishes to inspect your equipment and thereby gauge your readiness for the tasks he has in mind."
Lurkers in the Grotto,"Staelwyrn, the owner of Summerford Farms, has a task for a competent adventurer."
Washed Up,"Staelwyrn is up in arms, as his hired hands are nowhere to be found."
Double Dealing,Staelwyrn worries his sack of oranges will not reach the La Thagran Checkpoint as planned.
Loam Maintenance,Gurcant seeks fertile soil to improve the yields of his newly plowed fields.
Plowshares to Swords,Pfrewahl needs stolen farm tools recovered.
Just Deserts,Staelwyrn has reason to believe that Sevrin is up to no good. Something must be done.
Sky-high,"Baderon, the proprietor of the Drowning Wench, has a suggestion to put you on the road towards new adventures."
Thanks a Million,"Wyrkrhit, a Skylift operator, needs you to recover a cargo load abandoned by a terrified wagon driver and deliver it to its intended recipient."
Relighting the Torch,"Fraeloef, a Yellowjacket on guard duty in Swiftperch, wants you to visit the Brewer's Beacon and investigate the reason behind the waning light."
On to the Drydocks,"Forgemaster H'naanza, head of Naldiq & Vymelli's, wants you to assist with the workload over at the Moraby Drydocks."
Without a Doubt,Ahtbyrm is looking for a member of his crew and the items he was supposed to deliver.
Righting the Shipwright,Haldbroda has a suggestion for the kind adventurer who came bearing foreman Ahtbyrm's message.
Do Angry Pirates Dream,Victory foreman Ahtbyrm is considering recommending you for an important job involving drydock security.
Victory in Peril,"Ghimthota, a captain of the watch at the Moraby Drydocks, wishes your aid in dealing with potential intruders."
Men of the Blue Tattoos,Ghimthota wishes to entrust you with an important task.
Feint and Strike,Baderon has a task for a trusted adventurer.
High Society,Commodore Reyner wishes to speak with you regarding the forthcoming banquet.
A Mizzenmast Repast,Baderon wants you to let him know when you are ready to depart for the banquet.
The Lominsan Envoy,Merlwyb wishes to entrust you with an important task.
Call of the Sea,Bartholomew has information that may be of interest to you.
Coming to Gridania,"To be recognized as an adventurer in the city-state of Gridania, you must first register yourself with the Adventurers' Guild."
Close to Home,"Miounne, proprietress of the Carline Canopy, wants you to perform three tasks that will help you learn the fundamentals of adventuring."
To the Bannock,Miounne wishes to send an adventurer to the instructor at the Bannock.
Passing Muster,"Galfrid, chief instructor at the Bannock, wishes to inspect your equipment and thereby gauge your readiness for future missions."
Chasing Shadows,Galfrid needs an adventurer to investigate suspicious activity in the Twelveswood.
Eggs Over Queasy,"Galfrid, chief instructor at the Bannock, wishes you to collect chigoe egg sacs."
Surveying the Damage,A guard at Gilbert's Spire named Monranguin needs you to recover the surveying equipment left behind in a cave by a startled recruit. 
A Soldier's Breakfast,"Pauline at Gabineaux's Bower needs an adventurer to cull the growing anole population, as well as gather one of the scalekin's eggs."
Spirithold Broken,"Galfrid, chief instructor at the Bannock, would entrust you with the task of investigating Spirithold. "
On to Bentbranch,"Impressed by your progress, Miounne wishes to send you on to Bentbranch Meadows, where you will find further opportunities to learn. "
You Shall Not Trespass,"Keitha, the head wrangler at Bentbranch Meadows, appears most distraught. See if there is anything you can do."
Don't Look Down,"Osha Jaab, a Wood Wailer at the Matron's Lethe, is looking for a sure-footed adventurer to pluck blue trumpets from the root of the nearby heavenspillar. "
In the Grim Darkness of the Forest,Theodore is looking for an adventurer to deliver a message.
Threat Level Elevated,Roseline would like you to warn other sentries of the stranger's activities.
Migrant Marauders,Eylgar would like to impose upon the kindness of an adventurer.
A Hearer Is Often Late,"Lothaire, a guard at Galvanth's Spire, wants you to visit the Hedgetree. "
Salvaging the Scene,"Armelle, a local at the Mirror Planks, wishes you to salvage cargo from a wreckage on the road."
Leia's Legacy,Luquelot at Bentbranch Meadows seeks your assistance in finding a lost chocobo egg.
Dread Is in the Air,Luquelot appears to be in need of assistance.
To Guard a Guardian,Miounne has a mind to assign you a mission of great import.
Festive Endeavors,Bowlord Lewin has information regarding your role in Greenbliss.
Renewing the Covenant,Miounne has some final words of advice to offer regarding your role in Greenbliss.
The Gridanian Envoy,Kan–E–Senna would entrust you with a task of great import.
Call of the Sea,The serpent officer has information that may be of interest to you.
Coming to Ul'dah,"To be recognized as an adventurer in the city–state of Ul'dah, you must register yourself with the Adventurers' Guild."
Close to Home,"Momodi, the proprietress of the Quicksand, wants you to perform three tasks that will help you learn the fundamentals of adventuring."
We Must Rebuild,Momodi of the Quicksand wants to introduce you to a certain someone at the Ul'dah Dispatch Yard.
Nothing to See Here,Stationmaster Papashan has a simple task for a fledgling adventurer.
Underneath the Sultantree,Papashan is in dire need of your assistance.
Step Nine,Cicidoa needs a reliable adventurer to deliver a gift to the Coffer & Coffin.
Prudence at This Junction,"Roger hears all sorts of information in his line of work, some of which may be useful to you."
Out of House and Home,Warin has work for an adventurer willing to exterminate the coblyns attacking ore wagons.
Way Down in the Hole,Zuzumeda wishes to share with you a most amazing rumor.
Takin' What They're Givin',Momodi of the Quicksand has word of work for a willing adventurer.
Supply and Demands,Dadanen would like you to deliver a message to Copperbell Mines.
Give It to Me Raw,Drunken Stag needs someone to retrieve the raw Nashachite he dropped outside the mines.
The Perfect Swarm,Drunken Stag wishes to repay your kindness with some useful information.
Last Letter to Lost Hope,Fufulupa wants you to track down a missing courier.
"Heir Today, Gone Tomorrow",Leofric has a request for an adventurer looking to do some good.
Passing the Blade,Leofric would like you to deliver an item to Horizon.
Following Footfalls,Fufulupa needs you to assist his fellow Brass Blades.
Storms on the Horizon,Nunuzofu wants you to deliver a message to Crescent Cove.
"Oh Captain, My Captain",Merilda may have stumbled upon a secret...
Secrets and Lies,Fufulupa would entrust you with a matter of grave import.
"Duty, Honor, Country",Momodi wishes to enlist the aid of a trusted friend of Ul'dah.
A Matter of Tradition,Owyne would like to speak with you regarding the sultana's invitation.
A Royal Reception,Momodi wants to see you off to the banquet.
The Ul'dahn Envoy,Raubahn means to entrust you with a task of the utmost import.
Call of the Sea,Bartholomew has information that may be of interest to you.
It's Probably Pirates,"Baderon, the proprietor of the Drowning Wench, has need of a capable adventurer."
Call of the Forest,Baderon has information on a new task.
Fire in the Gloom,Miounne is waiting to brief you on your task.
Call of the Desert,Miounne has information on a new task.
Into a Copper Hell,Momodi is waiting to brief you on your task.
The Scions of the Seventh Dawn,Momodi is ready to tell you what she knows about the Scions of the Seventh Dawn.
A Wild Rose by Any Other Name,Minfilia is waiting to hear whether or not you will pledge your support to the Scions of the Seventh Dawn.
Unsolved Mystery,Isembard of Camp Drybone is seeking help to solve a mystery of missing persons.
What Poor People think,Isembard aims to turn his investigation to the commonfolk.
A Proper Burial,Isembard would like you to learn what you can from the clergy.
For the Children,Isembard is concerned about the questions surrounding Sister Ourcen's integrity.
Amalj'aa Wrong Places,Isembard seems to have a message for you from Thancred.
Dressed to Deceive,Isembard wants to help you identify and apprehend the false priest.
"Life, Materia and Everything",Minfilia would like you to meet a distinguished individual.
Lord of the Inferno,Minfilia would like you to assist the Immortal Flames.
A Hero in the Making,Minfilia is wearing a wry smile. Might it have something to do with your newfound fame?
The Company You Keep (Maelstrom),The Maelstrom recruitment officer seems eager to welcome you to Limsa Lominsa's Grand Company.
Till Sea Swallows All,The personnel officer stands ready to complete your induction into the ranks.
The Company You Keep (Twin Adder),The Twin Adder recruitment officer seems eager to welcome you to Gridania's Grand Company.
Wood's Will Be Done,The personnel officer stands ready to complete your induction into the ranks.
The Company You Keep (Immortal Flames),The Immortal Flames recruitment officer seems eager to welcome you to Ul'dah's Grand Company.
For Coin and Country,The personnel officer stands ready to complete your induction into the ranks.
Sylph-management,Minfilia needs you to investigate the sylphs.
We Come in Peace,Commander Vorsaile Heuloix has been awaiting the aid of the Scions.
Sylphic Studies,"Rolfe Hawthorne, patriarch of the beekeeping Hawthorne family, is said to be well versed in sylphic customs."
First Impressions,Rolfe Hawthorne would share further knowledge to assist you in befriending the sylphs.
First Contact,Rolfe Hawthorne has gift wrapped your offering in preparation for your journey into the sylphs' demesne.
Dance Dance Diplomacy,Yda has a notion of how one might earn the sylphs' trust.
Forest Friend,Papalymo has a notion of how you might endear yourself to the sylphs of Little Solace.
Presence of the Enemy,Komuxio of Little Solace would entrust you with a task.
Brotherly Love,Komuxio is pining for a wayward friend.
Spirited Away,Komuxio would make a confession to you.
Druthers House Rules,Buscarron could use an adventurer to douse a fight brewing at his establishment.
Never Forget,The eponymous proprietor of Buscarron's Druthers has need of an able adventurer.
Microbrewing,Teteroon has places for you to go and thingies for you to get.
Like Fine Wine,Teteroon appears to have finished his gift for Buscarron.
Sylphish Concerns,"If Buscarron had his druthers, he'd have an adventurer with whom to share talk of sylphs."
Nouveau Riche,Buscarron has more work for a willing adventurer.
Into the Beast's Maw,Buscarron has reliable information regarding the whereabouts of the sylph elder.
A Simple Gift,Buscarron has something he wants delivered to the sylphs.
Believe in Your Sylph,Komuxio wants you to discuss peace with Frixio.
Back from the Wood,Commander Heuloix appears to have more to say.
Shadow of Darkness,Minfilia would have you investigate the mysterious Lahabrea.
Highbridge Times,Hihibaru wants to help you find Lahabrea...maybe.
Where There Is Smoke,Hihibaru has information that will surely lead you to Lahabrea.
On to Little Ala Mhigo,Hihibaru has a suggestion to help you with your investigation.
Tea for Three,Gisilbehrt would like to aid in your manhunt.
Foot in the Door,Gisilbehrt would offer you some advice regarding your investigation.
Meeting with the Resistance,Minfilia wants to introduce you to an Ala Mhigan member of the Scions.
Killing Him Softly,Meffrid needs help tending a wounded brother.
Helping Horn,Meffrid needs your help to save a wounded comrade.
He Ain't Heavy,Meffrid needs your help to find a missing comrade.
Come Highly Recommended,Meffrid wishes to repay your kindness.
The Bear and the Young'uns' Cares,Gundobald is willing to share with you what he knows of the masked stranger.
Wilred Wants You,Hremfing has a secret message for you.
Big Trouble in Little Ala Mhigo,Gundobald needs your help to rein in the young ones of Little Ala Mhigo.
Back to Square One,Gundobald wants to wish you well on your investigation.
Terror at Fallgourd,Minfilia has another lead for you to pursue.
Ziz Is So Ridiculous,Aideen has a proposal to make concerning your investigation.
Rock of Rancor,Aideen has further knowledge of the mysterious deaths.
Seeing Eye to Winged Eye,Ivaurault has information to share regarding your investigation.
Power of Deduction,Medrod is troubled by the dearth of new developments in the murder investigation.
Secret of the White Lily,Aethelmaer wants you to hold on to the button.
Skeletons in Her Closet,Ursandel has a confession to make regarding the mysterious murders.
Wrath of the Titan,Minfilia is waiting to brief you and your fellow Scions on a new development.
Tales from the Tidus Slayer,Trachtoum is eager to regale you with stories of his glory days.
Hungry Hungry Goobbues,Trachtoum appears to be ignoring you.
The Lominsan Way,Trachtoum remains unconvinced of your readiness to defeat the dread primal Tidus.
Nix That,Wheiskaet would first like to verify that you are not a complete fraud.
A Modest Proposal,Wheiskaet has an important mission for you.
Trial by Turtle,Landenel needs to explain a few things to you.
The Perfect Prey,U'odh Nunh wants you to hunt the most dangerous game.
When the Worm Turns,U'odh Nunh is finally willing to tell you of the ingredient you seek.
There and Back Again,U'odh Nunh would like you to deliver a gift to Wheiskaet.
The Things We Do for Cheese,Wheiskaet would like to tell you about the final ingredient needed for the banquet.
What Do You Mean You Forgot the Wine,Wheiskaet would like to congratulate you on a job well done.
An Offer You Can Refuse,Shamani Lohmani would like to discuss wine with you.
It Won't Work,Shamani Lohmani has another bright idea.
Give a Man a Drink,Shamani Lohmani appears to be in deep thought.
That Weight,Drest is suffering from extreme duress.
Battle Scars,Drest appears to be in greater control of his faculties.
It Was a Very Good Year,"Shamani Lohmani is brimming with glee, and he wishes to share the reason why with you."
In the Company of Heroes,Y'shtola is concerned for your well-being.
As You Wish,Wheiskaet truly intends to tell you how you may face Titan this time.
Lord of Crags,Riol is waiting for you to give him your undivided attention.
All Good Things,Y'shtola is keen to discuss your next task.
You Can't Take It with You,Marques has a personal request to make of you.
Bringing out the Dead,Sister Eluned is staring at you with great sadness in her eyes...
Bury Me Not on the Lone Prairie,Sister Eluned wishes to discuss one of the Scions who perished at the Waking Sands.
Eyes on Me,Marques believes he is being watched.
He Who Waited Behind,Father Iliud has some parting words for you and the others.
Cold Reception,Vortefaurt wishes to tell you of the final flight of the Enterprise.
The Unending War,Ser Ludovoix is doing his utmost to intimidate you into leaving.
Men of Honor,Jocea is attempting to attract your attention.
Three for Three,Lord Portelaine requires that you perform a third task on behalf of House Durendaire.
The Rose and the Unicorn,Ser Carrilaut has something very important to tell you.
The Talk of Coerthas,Lord Haurchefant has a proposal for how you might participate in his investigation.
Road to Redemption,Lord Haurchefant is concerned for Lord Francel's well-being.
Following the Evidence,Lord Haurchefant suspects that someone is conspiring against Lord Francel.
In the Eyes of Gods and Men,Lord Haurchefant needs your help to clear Lord Francel's name.
The Final Flight of the Enterprise,Lord Haurchefant would like to introduce you to his witness.
Ye of Little Faith,Ser Brunadier seems ill inclined to help you...
Factual Folklore,Haustefort is eyeing you with interest.
The Best Inventions,Cid would like to furnish the infirmary with a new alembic.
Influencing Inquisitors,Cid is concerned about Inquisitor Guillaime.
By the Lights of Ishgard,Alphinaud appears to be in deep thought.
Blood for Blood,Alphinaud is determined to discover Inquisitor Guillaime's true identity.
The Heretic among Us,Lord Drillemont requires your assistance in bringing the heretic masquerading as Inquisitor Guillaime to justice.
In Pursuit of the Past,Alphinaud is eager to enter the Stone Vigil.
Into the Eye of the Storm,Cid appears to be deep in thought.
Sealed with Science,Professor Lamberteint is about to show you something you will never forget.
With the Utmost Care,Hahasako is trying very hard to contain his excitement and is failing.
A Promising Prospect,Professor Lamberteint knows where you might find the crystal you seek.
It's Probably Not Pirates,Ceana is frustrated with the progress of her research.
Representing the Representative,Ceana seems to have regained her composure.
The Reluctant Researcher,Ceana has no desire to journey to the Isles of Umbra.
Sweet Somethings,Davyd has a simple proposal for you.
History Repeating,Davyd is sweating profusely...
The Curious Case of Giggity,Ceana knows where the corrupted crystal that you seek can be found.
Better Late than Never,Hedyn has neglected to return to you your corrupted crystal.
Lady of the Vortex,"With Cid's modifications now installed, the Enterprise is finally ready to make the journey to the Howling Eye."
Reclamation,Alphinaud is ready to return to the Waking Sands.
Casing the Castrum,Y'shtola wishes to discuss the fate of the prisoners being held at Castrum Centri.
Eyes on the Empire,Lord Portelaine would like to aid in your search for Biggs and Wedge.
Footprints in the Snow,Ser Pierremons wants to share with you what he knows of the two fugitives.
Monumental Hopes,Wedge is gravely concerned for his missing companion.
Notorious Biggs,Wedge is determined to find Biggs.
Come-Into-My-Castrum,Cid wants to prepare a strategy to rescue Minfilia and the other Scions.
Getting Even with Garlemald,Glaumunt would like to aid in your mission to rescue the captured Scions. 
Drowning Out the Voices,Cid requires your assistance for his rescue preparation.
Acting the Part,Glaumunt wants you to practice the part of imperial trooper.
Dressed for Conquest,Sark Malark wishes to help you acquire the disguises you need for your rescue mission.
Fool Me Twice,Glaumunt has finally devised a plan to appropriate a suit of magitek armor.
Every Little Thing She Does Is Magitek,Cid would have you assist in the repair of the magitek armor.
Escape from Castrum Centri,Cid awaits confirmation of your readiness to undertake the rescue mission.
The Black Wolf's Ultimatum,Minfilia is greatly concerned by recent developments concerning the council of the Alliance leaders.
Operation Archon,Minfilia would brief you on the Eorzean Alliance's planned counteroffensive against the Empire.
A Hero in Need,The Allied communications officer has a task that can only be performed by a hero of the Alliance.
Hearts on Fire,Sergeant Cracked Fist needs a hero to raise morale on the front lines.
Rock the Castrum,Edelstein would send you forth to commence the penultimate phase of Operation Archon.
The Ultimate Weapon,Raubahn has some parting words for you ahead of the final phase of Operation Archon.
The Price of Principles,Minfilia appears to be lost in thought.
Moving On,"Once again, Minfilia appears to be lost in thought."
All Things in Time,F'lhaminn has made her peace and is ready to reunite with her adopted daughter.
Laying the Foundation,Minfilia would share with you the latest news on the Scions' imminent relocation.
It's Possibly a Primal,Slafborn would show you around the Scions' soon-to-be home in Revenant's Toll.
"Hail to the King, Kupo",Vorsaile Heuloix wishes to brief you on the latest crisis in Gridania.
You Have Selected Regicide,Brother E–Sumi–Yan would unfold to you the secrets of Good King Moggle Mog XII's magical defenses.
On the Properties of Primals,Raya–O–Senna wishes to congratulate you on your victory over Good King Moggle Mog XII.
The Gifted,"The time has come at last to leave Vesper Bay, and Minfilia would apprise you of the final details of the move."
Build on the Stone,Minfilia has a final favor to ask of you.
Legacy of Allag,An oddly garbed man visiting Revenant's Toll has some information which might be of interest to an experienced adventurer.
Sanding It Down,Rammbroes wishes to proceed with the shaping of the flawless crystals.
A Performance for the Ages,Rammbroes wishes to discuss the procurement of the outstanding varieties of aethersand.
Labyrinth of the Ancients,G'raha Tia is eager to begin the expedition to the Crystal Tower.
For Prosperity,G'raha Tia is ready to address the assembled fellowship of NOAH.
Still Waters,Minfilia has a new assignment for you.
A Final Temptation,Thancred wishes to discuss how to proceed with the investigation.
The Mother of Exiles,Thancred has information on your next assignment.
Promises to Keep,Raubahn would like to discuss how to handle the Doman refugees.
Yugiri's Game,Alphinaud has a mind to send you to Vesper Bay.
Why We Adventure,"At long last, Hozan and his group are ready to leave Vesper Bay."
All Due Respect,Alphinaud would have you and Yugiri depart for Revenant's Toll without delay.
The Sea Rises,Minfilia wishes to share some final words on the coming mission prior to departing for Limsa Lominsa. 
Scouts in Distress,Falkbryda is growing ever more agitated by the minute.
The Gift of Eternity,Falkbryda awaits the commencement of the operation with barely concealed rage.
Into the Heart of the Whorl,Merlwyb is brooding over Leviathan's return.
Lord of the Whorl,Eynzahr stands ready to send you off to your encounter with the Lord of the Whorl.
When Yugiri Met the Fraternity,Zanthael has orders to point you in the direction of the Lominsan underworld.
Through the Maelstrom,Yugiri has the air of a woman bursting with gratitude.
The Great Divide,Minfilia's thoughts keep returning to the fate of the Students of Baldesion.
Desperate Times,Alphinaud wishes to investigate the circumstances surrounding the riot.
Shock and Awe,The terrified refugee would have you find his brethren and convince them to lay down their arms.
Reap the Whirlwind,The terrified refugee would have you find the shady figure who is trying to stir dissent among his brethren.
Revolution,Swift has a message for you from General Raubahn.
Stories We Tell,Recent revelations weigh heavily on Alphinaud's mind.
Lord of Levin,Minfilia wishes to discuss the latest threat to arise in the Black Shroud.
Levin an Impression,"The serpent lieutenant looks about, seemingly awaiting a visitor."
What Little Gods Are Made Of,The serpent lieutenant is ready to send you on your way.
Guardian of Eorzea,Minfilia has some correspondence she wishes to share with you.
Recruiting the Realm,Alphinaud wishes to request your assistance for his new endeavor.
Heretical Harassment,Minfilia appears eager to welcome you back to Revenant's Toll.
When the Cold Sets In,Lord Haurchefant awaits confirmation of the reason for your visit to Camp Dragonhead.
Brave New Companions,Slafborn has news on the progress of the inaugural ceremony.
Syrcus Tower,Rammbroes is frustrated over NOAH's lack of progress on the Crystal Tower.
Traitor in the Midst,Minfilia would have you assist Alphinaud in his new station as commander of the Crystal Braves.
Back and Fourth,Ilberd is eager to continue his investigation into the Garlean spy known as the Ivy.
Coming to Terms,"An influential Ishgardian wishes to meet the Warrior of Light, and Alphinaud would like nothing more than to oblige him."
The Intercession of Saints,Recent developments have given Alphinaud much to consider.
Strength in Unity,"Woe betide the heretic who crosses Alphinaud Leveilleur, for they shall feel the full force of his fury."
"Dark Words, Dark Deeds","Only the naive place all of their hope in the success of a single solution, and Lord Drillemont is anything but..."
First Blood,"The allied forces at Snowcloak are in danger, and Lord Drillemont would have you assist him in ensuring their safety."
The Path of the Righteous,Lord Drillemont recognizes that the situation in Snowcloak is coming to a head and that decisive action must be taken.
For the Greater Good,"Though not given to small talk, Alphinaud can think of no better way to pass the time until Minfilia arrives."
Tendrils of Intrigue,Alphinaud is eager to hear Ilberd's report on the Ivy.
Chasing Ivy,Ilberd is convinced that he has discovered the Ivy's identity and is preparing to move against the Garlean spy.
In Flagrante Delicto,Ilberd is eager to resume the pursuit of Eline Roaille.
A Simple Plan,Minfilia has never been one to hesitate when it comes to asking others for aid.
The Instruments of Our Deliverance,"A plan has been devised, and Minfilia would have it carried out without further delay."
The Road Less Traveled,Moenbryda remains unconvinced that you have not sustained a head injury.
Eyes Unclouded,"For one with reason to celebrate, Alphinaud looks rather grim."
The Reason Roaille,Minfilia would discuss how best to proceed in light of recent developments.
Let Us Cling Together,Alphinaud would ask another favor of you.
Good Intentions,Minfilia is considering which of her many responsibilities demands her utmost attention.
Bait and Switch,Ilberd is eager to bring the black marketeer and his clients to justice.
Best Laid Schemes,Ilberd would like nothing more than to have this incident forgotten.
The Rising Chorus,Tataru seems eager to escort you to the solar.
Aether on Demand,Alphinaud has a message from Moenbryda for the Scions.
On the Counteroffensive,Lieutenant Edelstein wishes to share a report with you concerning the Garleans' movements.
An Uninvited Ascian,Lieutenant Edelstein appears concerned for Moenbryda's well-being.
In Memory of Moenbryda,Minfilia wishes to gather the Scions and honor the fallen Moenbryda.
The World of Darkness,Rammbroes has a furrowed brow and the look of one with ill tidings.
The Light of Hope,"With a look of finality upon him, Rammbroes seems intent upon sealing the Crystal Tower once and for all."
Mask of Grief,Minfilia has a request to make of you.
Defenders for Ishgard,Alphinaud awaits the arrival of the Ishgardian envoy.
The Wyrm's Roar,Alphinaud seems eager to return to Camp Dragonhead.
Committed to the Cause,Alphinaud is ready to begin making preparations for war.
Volunteer Dragonslayers,Minfilia would have you assist with the preparations being made for the defense of Ishgard.
An Allied Perspective,Tataru has a message for you from Alphinaud.
The Steps of Faith,Ser Marcelain wishes to prepare you for the siege of Ishgard.
Administrative Decision,Minfilia seems loath to put you to further trouble so soon after your last great exertion.
An Unexpected Ambition,Minfilia is at a loss for words.
"Ancient Ways, Timeless Wants","Tataru is considering her next course of action, and how you might aid her in it."
Where We Are Needed,Minfilia is eyeing you with a mixture of regret and desperation.
The Least among Us,Who better to serve the Scions of the Seventh Dawn than a humble scholar and his faithful assistant?
A Time to Every Purpose,"While others look forward to the impending royal banquet, Minfilia cannot help but look to the past."
"Come, but Not Gone","A hero must go where'er he is needed, and according to Minfilia, you are needed elsewhere."
The Parting Glass,"Judging by Momodi's grin, your star could not rise any higher."
Before the Dawn,"In times of trouble, there are few things more precious than unconditional support."
Coming to Ishgard,"The time for action has come, and Alphinaud knows what he must do."
Taking in the Sights,Alphinaud has a mind to learn more about Ishgard.
The Better Half,Your guide is eager to continue your tour of Ishgard.
Onwards and Upwards,"When a man like Lord Emmanellain is in high spirits, you can be sure that trouble is in store..."
An Indispensable Ally,Lady Laniaitte knows all too well what must be done to ensure that your time spent in Camp Cloudtop is not for nothing.
Meeting the Neighbors,Lady Laniaitte is eager to get to more important business.
Sense of Urgency,"An undisciplined unit is a unit ripe for destruction, as Ser Marielle knows."
Hope Springs Eternal,Ser Marielle fears what might come of Lord Emmanellain's newfound ambition.
A Series of Unfortunate Events,Honoroit is more than a little concerned for Lord Emmanellain's well-being.
A Reward Long in Coming,Lord Emmanellain appears to be rather pleased with himself.
Over the Wall,Lord Artoirel is less than eager to brief you on his mission.
Work in Progress,Ser Redwald would have you assist the craftsmen rebuilding the fortifications of Falcon's Nest.
The First and Foremost,Good help is hard to find─a sad truth that Rothe knows well.
From on High,"Before you return to Falcon's Nest, Thierremont has a favor to ask."
Reconnaissance Lost,"In times such as these, Ser Redwald is glad to have veterans like you to whom he can turn."
At the End of Our Hope,Lord Artoirel seems loath to forgo any opportunity to locate the heretics' hiding place.
Knights Be Not Proud,Lord Artoirel would rather not linger without cause.
Divine Intervention,The Fortemps steward looks as though he has something to say.
