Quest,Description
Shadowbringers,Alisaie appears to have made her decision.
Shaken Resolve,Tataru seems eager to make up for lost time.
A Grand Adventure,The Crystal Exarch would waste no time in seeking help for your stranded comrades.
A Welcome Guest,Alphinaud looks just about ready to leave you behind.
Good for the Soul,Beq Lugg is ready to speak of the metaphysical.
Nowhere to Turn,Kai-Shirr is anxious to see you and Alphinaud back to Eulmore.
A Notable Absence,"For all his comforting words, Alphinaud is plainly troubled by Master Chai's sudden disappearance."
For the People,"With furrowed brow, Alphinaud carefully considers where best to look next."
Finding Good Help,Chai-Nuzz's look of steely determination is only slightly undermined by the knocking of his knees.
Moving Forward,"Despite the butterflies in his stomach, Chai-Nuzz is prepared to address the masses."
"Vows of Virtue, Deeds of Cruelty","Alphinaud wears a satisfied smile, seemingly content with the state of Eulmore."
"Old Enemies, New Threats","Krile is glad for your return, though it remains to be seen if she has glad tidings to share."
The Way Home,"Krile can see the steely resolve in your eyes, and suspects she knows to where duty calls you."
Seeking Counsel,Alphinaud is eager to assist Captain Lyna.
Facing the Truth,"Her mind at ease, Lyna is ready to return to her duties."
A Sleep Disturbed,"With furrowed brow, the Crystal Exarch deliberates your next move."
An Old Friend,"By all rights you should be departing for the Crystarium, but Y'shtola does not seem ready to return."
Deep Designs,Y'shtola would have you depart for the Tempest without delay.
A Whale's Tale,"Urianger has a mind to call on an old, old friend."
Beneath the Surface,"Thus reminded of the urgency of your investigation, Urianger would press on."
Echoes of a Fallen Star,Urianger presumably has some idea as to what you might usefully do while Y'shtola pursues her investigations in Anamnesis Anyder.
In the Name of the Light,The manager of suites is looking a little anxious.
Heroic Dreams,Eirwel regards you expectantly.
Fraying Threads,Ryne's face is a picture of worry.
Food for the Soul,"Judging by her sheepish expression, Tataru has a favor to ask."
Faded Memories,Thancred is eager to get to work.
Etched in the Stars,A peculiar crystal lies on the Capitol's polished floor.
The Converging Light,Y'shtola gazes out into the distance.
Hope's Confluence,The Crystal Exarch is the very picture of resolve.
Nothing Unsaid,Y'shtola's eyes seem to be staring into your very soul.
The Journey Continues,"His business concluded, Alphinaud turns his attention to yours."
Unto the Morrow,Urianger regards you with a gentle smile.
Reflections in Crystal,"Her heart laid bare, Ryne appears to be at peace again."
Alisaie's Quest,Krile's eyes light up at the sight of you.
The Wisdom of Allag,G'raha Tia surveys his surroundings with an expectant glint in his eye.
Reviving the Legacy,G'raha Tia seems eager to bear the node away.
Forget Us Not,Alisaie has only one thing on her mind.
"Like Master, Like Pupil",The trace of a wry smile is visible on Y'shtola's lips.
The Admiral's Resolve,Alphinaud is eager to deliver the good tidings to Limsa Lominsa.
The Search for Sicard,Alphinaud has the look of a man with a plan.
On Rough Seas,Alphinaud is keen to report back to the Admiral.
The Great Ship Vylbrand,"For the first time in a long time, Merlwyb's course is clear."
Futures Rewritten,"Alphinaud's face is a picture, equal parts jubilation and relief."
Unto the Breach,"Alisaie is waiting patiently for the return of certain Scions─not least of all, you."
Here Be Dragons,Alphinaud is keen to track down Estinien.
Righteous Indignation,Estinien is ready to lead the way to Tiamat.
For Vengeance,The restrainment node stands poised to lend a hand...figuratively speaking.
The Flames of War,"With Lunar Bahamut bound for Paglth'an, G'raha Tia is determined to call upon the aid of your fellow Scions."
When the Dust Settles,Alphinaud is minded to share his account of the events that unfolded in Paglth'an with the sultana.
The Company We Keep,Alisaie can tell you are itching to take the fight to the Telophoroi.
On Official Business,Alphinaud is keen to hear what Alisaie and G'raha Tia have learned from the Braves who turned their back on the cause.
Death Unto Dawn,Kan-E-Senna seems determined not to let the disappointment of Sharlayan's rejection distract her from the task at hand.
The Next Ship to Sail,Alphinaud is feeling the need to take stock.
"Old Sharlayan, New to You",Krile sweeps the Scions with a speculative look.
Hitting the Books,Krile is intent on uncovering the reason behind the Forum's inexplicable behavior.
A Seat at the Last Stand,Alisaie appears in desperate need of a study break.
A Labyrinthine Descent,Alisaie is excited to share your revelations.
Glorified Ratcatcher,Krile appears lost in thought.
Deeper into the Maze,Alphinaud is gazing into the Archeion with an appraising look.
The Medial Circuit,Alisaie seems eager to get underway.
"The Full Report, Warts and All",Alisaie is not about to let Erenville out of her sight.
A Guide of Sorts,"Alisaie is staring off in the direction Erenville departed, a thoughtful look on her face."
Estate Visitor,Alisaie has a look of dissatisfaction.
For Thavnair Bound,Thancred is eager to set forth for Thavnair.
On Low Tide,"His stomach behaving once more, Thancred is ready to get to work."
A Fisherman's Friend,Matsya regards you nervously.
House of Divinities,"Judging by his furrowed brow, something important has occurred to Estinien."
The Great Work,Matsya has a shine in his eyes that wasn't there before.
Shadowed Footsteps,Nidhana regards you with those eyes you could drown in.
A Boy's Errand,Little does Nidhana know that she is about to send you on another errand.
Tipping the Scale,Zeynuha has a sack of giantsgall for you.
The Satrap of Radz-at-Han,Thancred is wearing a grim expression.
In the Dark of the Tower,Krile glances at you with expectant eyes.
The Jewel of Thavnair,Thancred is rested and ready to set out.
The Color of Joy,Alphinaud has a mind to join the others at the High Crucible.
"Sound the Bell, School's In",Krile and G'raha Tia were having a pleasant conversation until you barged in.
A Capital Idea,Krile is still digesting a rather hefty portion of food for thought.
Best of the Best,Maxima would have you meet your new traveling companions.
A Frosty Reception,Tataru is desperately trying to retain her composure as she prepares to see you off on another perilous journey.
Tracks in the Snow,"Emmanellain is, as usual, milling about aimlessly."
How the Mighty Are Fallen,Licinia's inner turmoil is writ plain on her face.
At the End of the Trail,Jareck is amenable to making a deal.
A Way Forward,"Alphinaud's resolve may be shaken, but he has not forgotten his duty."
The Last Bastion,Jullus knows only too well that danger lurks around every corner.
Personae non Gratae,"Jullus has his orders, unpleasant though they may be."
His Park Materials,Jullus finds himself in the somewhat bizarre position of leading ambassadors of an enemy contingent on a salvage mission.
No Good Deed,"Now that the fire has burned out, Jullus is ready to move on."
Alea Iacta Est,"Once again, Jullus has been entrusted with an unenviable task."
Strange Bedfellows,"With the immediate crisis averted, Lucia seeks to gain a clearer understanding of the present situation."
In from the Cold,Lucia has further news for you.
Gateway of the Gods,"Now that you've recovered, Lucia would have a word with you."
A Trip to the Moon,G'raha Tia is pondering the technological marvel you have just beheld.
Sea of Sorrow,The watcher would have you deal with the specters haunting the moon.
The Martyr,Something has raised the lustrous dog's hackles.
In Shadow's Wake,The watcher would discuss grave matters with you.
Helping Hands,"At long last, the watcher is ready to fulfill his final duty."
A Harey Situation,Thancred's dumbfounded expression suggests he is still struggling to comprehend the spectacle he has just witnessed.
A Taste of the Moon,"With the Final Days fast approaching, Livingway is keen to complete her preparations."
Styled a Hero,Livingway is eager to show you more of the moon's wonders.
All's Vale That Endsvale,Growingway is keen to put his recent mishap behind him.
Back to Old Tricks,"By now, Thancred can tell when his friends are up to something."
Setting Things Straight,Urianger is quite glad for your company.
Heart of the Matter,"Growingway is fidgeting with nervous energy, but is it from excitement or worry?"
Returning Home,"Your excursion on the moon concluded, Y'shtola is keen to return to Etheirys."
Skies Aflame,Tataru is furrowing her brow in consternation.
The Blasphemy Unmasked,"Ahewann's burden is heavy indeed, yet he need not bear it alone."
Amidst the Apocalypse,Mihleel has information that should serve you well.
Beyond the Depths of Despair,G'raha Tia is eager to share all you have learned with your companions.
That We Might Live,Alphinaud is determined to offer the villagers what succor he can.
When All Hope Seems Lost,Matsya cannot help but fear the worst.
"Warm Hearts, Rekindled Hopes",Alisaie is gazing out intently between the trees.
Simple Pleasures,"Estinien stands in silence, a grim expression on his face."
Under His Wing,Matsya is eyeing you as if there is something he wants to say.
At World's End,The Radiant Host soldier has a message for the Scions of the Seventh Dawn.
Return to the Crystarium,G'raha Tia has something he wishes to give you.
Hope Upon a Flower,Ryne wears a look of steely resolve.
Petalouda Hunt,Hythlodaeus is looking you up and down.
In Search of Hermes,Hythlodaeus is ready to continue on if you are.
"Ponder, Warrant, Cherish, Welcome","Having found the wayward ambystoma, Hermes is the picture of relief."
Lives Apart,"Composure regained, Hermes is ready to return to his duties."
Their Greatest Contribution,Emet-Selch appears to be deep in thought.
Aether to Aether,Something seems to be weighing on Hermes's mind.
A Sentimental Gift,You needn't be an entelechy to feel the weight bearing down on Hermes.
Verdict and Execution,Hermes appears solemn and sorrowful.
Travelers at the Crossroads,Hythlodaeus wishes to discuss plans for the remainder of your visit.
"A Past, Not Yet Come to Pass",Venat is in a cheerful mood.
Witness to the Spectacle,Venat is musing over your recent findings.
Worthy of His Back,Venat has a new course of investigation in mind.
A Flower upon Your Return,Venat has Argos and his double at heel.
Hunger in the Garden,Hythlodaeus is eager to find Hermes.
Words without Sound,Emet-Selch seems content to stay where he is.
"Follow, Wander, Stumble, Listen",Hythlodaeus has a suggestion.
Caging the Messenger,Hythlodaeus is pondering what to do next.
"Thou Must Live, Die, and Know",Venat is watching you in quiet contemplation.
As the Heavens Burn,"Though you and Krile both have news to share, hers is perhaps the more urgent."
Outside Help,Lucia is taking stock of the present situation.
Going Underground,Fourchenault's ability to maintain a stiff upper lip is being sorely tested.
No Job Too Small,Alphinaud is resisting the urge to pat himself on the back.
Wise Guides,"Try as he might, Urianger cannot free himself of the Loporrits."
Agriculture Shock,"Cookingway is eager for a change of venue, or at the very least, a change of wotsit."
Sage Council,Urianger appears to be tallying the Loporrits in preparation for an imminent departure.
Hither and Yarns,The pall of anxiety over Sharlayan Hamlet has thinned to more manageable levels.
Once Forged,An unspecified task awaits you.
Bonds of Adamant(ite),"Kokkol Dankkol is, as usual, worked up over the aetherburner."
"Her Children, One and All",Fourchenault is ready to lead you to Hydaelyn at last.
A Bold Decision,Krile has urgent news.
Friends Gathered,"Though delighted by your patronage, Tataru is ready to send you on your way."
Unto the Heavens,Ojika Tsunjika is ready to send you off with a smile.
A §trαnge New World,"Try as he might, Alphinaud can find no sign of Thancred."
On Burdεned ωings,"Despite Meteion's words, Urianger cannot accept his comrade is gone."
Α Test of Wιll,"The bereaved dragon has fallen silent, leaving Estinien to sigh with frustration."
Roads Pαved││Sacri┣ice,Alphinaud has regained his composure and is ready to proceed.
F//εsh AbanΔon┨Δ,Coph-coodg languidly awaits their brethren's arrival.
Where Kn∞wledge Leads,Something seems to be weighing on Urianger's mind.
"Vic┨οry ̈ ̈ ̈╳, │̆││ε Lost",G'raha Tia regards his comrades in solemn silence.
┣┨̈//̈ No┨ΦounΔ•••,Graha Tia is ready to set forth.
"Hello, World",G'raha Tia is ready to take the next step.
Forge Ahead,"Amidst the sadness of Alphinaud's countenance, there is a newfound determination."
You're Not Alone,"If Alisaie is discouraged, she betrays no hint of it."
Endwalker,The Scions of the Seventh Dawn stand ready for the finale.
Newfound Adventure,Tataru is putting on a pot of tea and looks in need of company.
Bountiful Ruins,Tataru has some advice to share with you.
Friends for the Road,Estinien is ready to escort Mehrahd to safety.
Alzadaal's Legacy,Y'shtola is intrigued by the legend of Alzadaal III.
A Brother's Grief,Y'shtola is appraising the voidgate with a scholarly eye.
Sharing the Wealth,Varshahn wishes to discuss the distribution of the treasure.
Bridging the Rift,The veteran Radiant wishes to share his gratitude.
Restricted Reading,Montichaigne is waiting to offer you further instructions.
Void Theory,Y'shtola is eager to depart for the vault.
A Satrap's Duty,Y'shtola ponders the next stage of your preparations to enter the void.
In Search of Azdaja,Varshahn has glad tidings to share.
Shadowed Remnants,Varshahn wears a look of quiet determination.
Where Everything Begins,The dark-robed voidsent regards you questioningly.
Groping in the Dark,Estinien looks at you with his piercing gaze.
Nowhere to Run,"Having given you due warning, Zero would leave you to your own devices."
The Wind Rises,Zero has a word of warning before you go to face Barbariccia.
Return from the Void,Concern is writ plain upon Varshahn's face.
A World with Light and Life,"Never one to remain idle, Y'shtola would tend to an errand."
Buried Memory,A gentle smile plays on Varshahn's lips.
Once More unto the Void,Varshahn's eyes seem to brighten at your arrival.
A Cold Reunion,Estinien is understandably bewildered.
Kindled Spirit,Alphinaud is in need of a helping hand.
An Unforeseen Bargain,This distressed soldier has ill tidings to share with you.
King of the Mountain,Relief is writ plain on Alphinaud's face.
A Dragon's Resolve,Varshahn stares at the floor despondently.
Paths Barred,Zero wishes to know your next destination.
Desires Untold,"Now apprised of the situation, Nahbdeen is eager to take action."
"Gods Revel, Lands Tremble",Zero is already contemplating your next move.
Currying Flavor,Varshahn's eyes light up when he sees you.
Going Haam,Urianger wishes to depart at once.
Like Fear to Flame,It is time to proceed to the next stage of your plan.
The Fallen Empire,Jullus is eager to get out of the cold.
Bonds of Trust,Concern is writ plain on Jullus's face.
Lunar Rendezvous,Urianger wishes to take stock of the situation.
The Red Side of the Moon,Urianger is eager to rejoin Y'shtola.
Abyssal Dark,Zero would begin the hunt for Golbez.
The Dark Throne,Y'shtola is relieved to be back in the Source.
Seeking the Light,Varshahn is glad for your arrival.
Appealing to the Masses,Ryne is eager to help you set your plan in motion.
In Defiance of Fate,Zero's cool expression cannot hide the fire in her eyes.
Back to Action,You spy a tinge of sadness in Ryne's eyes...
Down in the Dark,Varshahn is the very picture of determination.
Reunited at Last,Vrtra is overjoyed to have been reunited with his sister.
Growing Light,Y'shtola has the look of a woman satisfied with her work.
When One Door Closes...,Varshahn has a message from Sharlayan.
The Game Is Afoot,G'raha Tia appears equal parts bewildered and excited.
The Coming Dawn,G'raha Tia is mulling over what you have learned of Wuk Lamat and her plan.
A New World to Explore,Ojika Tsunjika has a message for you.
The Nation of Tuliyollal,"While being on solid ground has improved Wuk Lamat's mood, her stomach appears to be lagging behind..."
A City of Stairs,Wuk Lamat is ready to commence the second half of your Tuliyollal tour.
A Saga in Stone,Krile regards the stone pillars curiously.
The Rite of Succession,Erenville has been waiting patiently for your arrival.
To Kozama'uka,The helpful Hanu is waiting to answer your questions.
A Festive people,Wuk Lamat wishes to seek out the Dawnservant's elector.
The Feat of Reeds,Wuk Lamat is eager to help solve the Hanuhanu's woes.
A Well-mannered Shipwright,Linuhanu wishes to take you to the shipwright.
The Lifting of Wings,Wuk Lamat settles down to rest before the festival gets underway.
Knowing the Hanuhanu,Wuk Evu wishes to spread word that the festival will soon be held.
To Urqopacha,The approachable Pelu is awaiting your questions.
Traders of Happiness,Wuk Lamat is ready to search out the Dawnservant's elector.
The Feat of Gold,Erenville wishes to discuss the Feat of Gold.
Mablu's Dream,Wuk Lamat steels herself for the ride to find your next trading partner.
A Premium Deal,Wuk Lamat has her eye on a jug of premium mezcal.
Wuk Lamat in the Saddle,Wuk Lamat is ready to return to Havli.
Knowing the Pelupelu,Mablu is minded to rush ahead to the village.
The Success of Others,Wuk Lamat is eager to attempt the next feat.
For All Turali,Wuk Lamat wonders how Fonjeantaine is getting on.
A Leaking Workpot,Erenville is concerned about dangers on the road.
Lending a Helphand,Rakorok needs help learning about the potsworn Kaahe.
The Feat of Pots,Koana has details to share concerning the forthcoming Feat of Pots.
A Father First,Wuk Lamat needs to pay a visit to the palace.
The Shape of Peace,Wuk Lamat thinks it time to gather her allies for the road ahead.
Lost Promise,Koana is anxious to begin the search for Wuk Lamat.
A Brother's Duty,Koana wishes to execute the final stage of his plan.
Feeding the River,Koana wishes to gather your companions for the upcoming rescue mission.
Sibling Rescue,Koana is nervously awaiting the call from Thancred.
History's Keepers,Wuk Lamat has her sights set on the Yok Huy village.
The Feat of Proof,Alphinaud would share his strategy for information gathering.
The High Luminary,Wuk Lamat gazes up at the summit of Worqor Zormor.
An Echo of Madness,Alphinaud would enlist your aid in checking on the injured Yok Huy.
Pointing the Way,Erenville is ready to send his aether-seeking device in pursuit of Valigarmanda.
The Skyruin,Erenville is ready to resume tracking Valigarmanda.
The Feat of Ice,Thancred would suggest sharing the news of your victory.
The Promise of Peace,Erenville would propose a course of action.
The Leap to Yak T'el,Alphinaud seems eager to review your journey thus far.
Village of the Hunt,Wuk Lamat's attention is divided between the perilously deep cenote and Iq Br'aax.
A History of Violence,Koana has the look of a man intent on finding bananas.
The Feat of Repast,Bananas still weigh heavily upon Koana's mind.
A Father's Grief,"The next feat awaits, and Alphinaud would have you on the road as soon as possible."
Taking a Stand,"Hunmu Rruk stands quietly, his expression one of old pain."
Into the Traverse,Wuk Lamat wishes to know how traversable the Ty'iinbek Traverse is.
City of Silence,"Finally in Mamook, Wuk Lamat is eager to make progress."
Blessed Siblings,Miilal Ja has something to show you.
Scale of Trust,Alphinaud is ready to bring the people together.
Mamook Speaks,"Before she hears the people, Wuk Lamat would like to ensure she is prepared."
The Feat of the Brotherhood,Wuk Lamat is determined to find a solution for Mamook.
Road to the Golden City,"Ketenramm, living legend and Eorzean explorer extraordinaire, would like to chat."
Dawn of a New Tomorrow,Peshekwa is beaming at you.
"Ever Greater, Ever Brighter",Krile is brimming with pride.
The Long Road to Xak Tural,Erenville is ready to set off.
Saddled Up,Erenville would not dither about for long.
Braced for Trouble,Erenville's composed demeanor belies his eagerness to help Namikka.
Blowing Smoke,Erenville's gaze is fixed on the bandits' hideout.
Law of the Land,Erenville looks expectantly for Wihuwte.
On Track,Erenville is relieved to see everything set to rights.
One with Nature,Erenville is eager to be off to the Pyariyoanaan Plain.
And the Land Would Tremble,Erenville regards the pile of timber with undisguised weariness.
No Time for Tears,Wuk Lamat is struggling to process what she has witnessed.
Pick up the Pieces,Alisaie regards the fallen soldier thoughtfully.
Together as One,"Before investigating the dome, Wuk Lamat wishes to see to one important matter."
In Yyasulani's Shadow,Alphinaud is considering how best to help carry out Wuk Lamat's plan.
Putting Plans into Locomotion,"Your plan is set, but G'raha Tia is not without reservations."
A Hot Commodity,A way to obtain fire crystals is on the tip of Iyaate's tongue.
All Aboard,"Despite his fatigue, there is an undeniable air of satisfaction about Wawlika."
The Land of Levin,Erenville looks upon Yyasulani in disbelief.
A Royal Welcome,Alisaie is inclined to keep a close eye on the queen.
A Day in the Life,Sphene is eager to show you around.
On the Cloud,Sphene would take you back to the outskirts.
Gone and Forgotten,Erenville is conflicted by this long-fated reunion.
Embracing Oblivion,Cahciua regards you with concerned curiosity.
Solution Nine,Wuk Lamat is eager to head to Everkeep.
The Queen's Tour,Sphene stands ready to take you on a tour of Solution Nine.
"Her People, Her Family","Having recomposed herself, Sphene is ready to continue the tour."
Scales of Blue,"Having seen the district to her satisfaction, Wuk Lamat is ready to head to the meeting point."
Gives You Teeth,Tassos stands stoically before the door.
Little Footfalls,It is all Wuk Lamat can do not to rush off after Gulool Ja.
Drowned Vestiges,Wuk Lamat is eager to follow Gulool Ja into the ruined town.
Memories of a Knight,Otis is pleased with the meat you have brought him.
At a Crossroads,"Otis looks pleased with himself, insofar as his vessel can indicate."
The Protector and the Destroyer,Wuk Lamat has a request to make before setting off to confront Zoraal Ja.
A Comforting Hand,Wuk Lamat wishes to do what she can for the people of Solution Nine.
Unto the Summit,Cahciua wishes to hold a strategy meeting.
The Resilient Son,Cahciua wishes to take you to the entrance of Origenics.
A New Family,Wuk Lamat is searching for the words to say to Shale.
In Pursuit of Sphene,Wuk Lamat wishes to look in on her soldiers.
Through the Gate of Gold,Wuk Lamat is eager to set off for the Skydeep Cenote.
Those Who Live Forever,Wuk Lamat's frustration is fairly palpable.
In Serenity and Sorrow,G'raha Tia wishes to track down the troubled Endless.
The Land of Dreams,Cahciua regards you and your companions with a sympathetic gaze.
A Knight of Alexandria,Wuk Lamat is eager to go after Otis.
The Sanctuary of the Strong,Cahciua would guide you to the next zone.
The Taste of Family,Krile has regained some composure.
Leafing through the Past,Krile is eager to learn about the Milalla people.
An Explorer's Delight,Cahciua is ready to head to the fourth and final zone.
In Search of Discovery,Cahciua's eyes sparkle in anticipation of discovery.
A Journey Never-ending,Cahciua is ready to take to the sky on mehwapyarra-back.
Dawntrail,Wuk Lamat's gaze is firmly fixed on the Meso Terminal.
A Royal Invitation,Bol Wuruq is eager to hear how you have been getting on.
Alexandria Mourns,Gulool Ja wishes to go and collect his flower for the funeral.
In Search of the Past,G'raha Tia has an idea on how you may proceed with your investigation.
Among the Abandoned,Krile is eager to begin searching the research facility.
Guidance of the Hhetso,Geode's concern is writ plain upon his face.
The Warmth of Family,Koana appears loath to part from his rroneek companion...
Crossroads,"Never one to stand still, Wuk Lamat is ready to race back to Alexandria."
Way of the Archer,Athelyna wishes you to reaffirm your desire to join the Archers' Guild.
A Matter of Perspective,Guildmaster Luciane wishes to instruct you on the fundamentals of archery.
School of Hard Nocks,Guildmaster Luciane wishes you to learn how to see things from different perspectives.
Violators Will Be Shot,Guildmaster Luciane desires that you train under Silvairre.
To Catch a Poacher,Guildmaster Luciane wants you to go to Buscarron's Druthers.
Homecoming,Guildmaster Luciane wants you to attend to your fellow archers.
The One That Got Away,Guildmaster Luciane is having a heated discussion with Silvairre. Perhaps you should intervene.
A Song of Bards and Bowmen,Guildmaster Luciane wishes to speak to you about learning new skills.
The Archer's Anthem,Jehantel wishes to teach you how to learn a new song.
Bard's-eye View,Jehantel would help you to learn yet another melody of the bard.
Doing It the Bard Way,Jehantel assents to sing for you the Ballad of the Vainglorious Fool
Pieces of the Past,Jehantel has a request for you.
Requiem for the Fallen,Jehantel wishes to bestow upon you the final garment of the choral attire.
On the Road Again,Jehantel would help you rise to greater heights in your art.
The Stiff and the Spent,Irritation is writ plain on Sanson's face.
Requiem on Ice,Sanson has acquired information on the Ballad of Oblivion.
When Gnaths Cry,Sanson is wearing an expectant look.
A Saint of Song,Sanson is holding out for Guydelot's return.
The Ballad of Oblivion,Sanson has given up hope of Guydelot returning.
Three's a Company,Jehantel's eyes light up at the sight of you.
Masked Motives,Sanson is at his wit's end with Nourval.
One Autumn's Secret,Sanson is poised to pounce upon Nourval.
Sleeping Truths Lie,Sanson is on the verge of making a decision on the tome.
Sweet Dreams Are Made of Peace,Guydelot is keenly waiting to see how the Order of the Twin Adder will move.
No Greater Sport,Lue-Reeq thinks you just might be the answer to his prayers.
Vengeance in Defeat,Lue-Reeq seems rather surprised to see you standing before him.
Freedom from Privilege,"Lue-Reeq is, as usual, quite pleased to see you again."
The Hunter's Legacy,Lue-Reeq appears to have been struck by an epiphany.
Fellowship Restored,Olvara cannot help but worry for Lue-Reeq's well-being.
Courage Born of Fear,Lue-Reeq wishes to confront an uncomfortable truth.
To Be a Mascot,The ryu metsuke seeks the aid of a kindly adventurer.
Unlike a Dragon,The ryu bugyo has a mind to make for Woad Whisper Canyon.
The Symbol of Love,Astrid is not-so-subtly indicating her desire for you to approach.
It's All About Heart,The time is ripe to inspire Gridanians to listen to their hearts.
The Princesses and the Eggs,Jihli Aliapoh is looking for someone to help make a dream come true.
Peatie in Pink,The royal seneschal has reached a decision.
A Golden Opportunity,Kipih Jakkya needs help penning her next hit article.
Hearts of Gold,Ollier stands at the ready to call upon the Gold Saucer's proprietor.
Of Impish Importance,Quevain is convinced that the truth is out there.
Allergic to Sunshine,Mayaru Moyaru is calling upon all adventurers to join the hottest event of the year.
I Am the Sunshine,Haermaga is eager to send the Sunshine Savior forth into the sands of Costa del Sol.
"Fire Red, Beast Green",Mayaru Moyaru is scouring the Aftcastle for any sun-beaten souls who might not have heard about this year's Moonfire Faire.
Festival Fan Frenzy,Moonfire Faire chaperone Beaudefoin is prepared to help you track down a half-dozen wayward cactuars.
Siblings Rising,Kipih Jakkya is looking a worried sister.
What Drives Us,Kipih Jakkya is again looking a worried sister.
Rising to the Call,The wandering minstrel seeks an adventurer both willing and able to help put the finishing touches to this year's Rising celebrations.
We Who Are About to Set Sail Salute You,Ayoyo asks for your continued assistance in seeing her plan for the Rising fireworks realized.
The Fright Stuff,The Adventurers' Guild investigator is eyeing the festive displays with a healthy dose of suspicion.
A Charmed Life,Papa Gruff is eager to rid Gridania of his wicked brethren.
The Aether-starved Ahriman,The pumpkin-headed apparition is on the lookout for an able adventurer.
All Fiends Sated on All Saints' Wake,"After a nudge in the right direction, Philcox is ready to embark on his mission."
Blue Starlight,"This Starlight Celebration volunteer is beaming at you. At least, you think so─their face is difficult to discern through such mighty facial hair."
Together at a Distance,"Amh Garanjy is grinning eargerly, her wide eyes sparkling more than usual."
Starlight Surprise,"Amh Garanjy brightens when she sees you, glancing at a sack brimming with Starlight goodies."
Breaking Brick Mountains,"Havak Alvak, an editorialist for the Mythril Eye in Ul'dah, has word of an opportunity for an intrepid adventurer."
A Journey to Remember,"Remumu has caught wind of a promising story, and seeks an adventurer to help separate fact from fiction."
A Complete Game Changer,The poor-heeled youth is visibly vexed.
The Man in Black,Kipih Jakkya has caught the scent of a story and needs help chasing it down.
In the Dark of Night,Kipih Jakkya is eager to set out with you and Noctis.
Messenger of the Winds,Noctis feels the need to unwind.
Just Crowning Around,"For once, Lewena appears to be entertained."
A Land on Fire,The neophyte adventurer seeks the Warrior of Light.
Pain to Recall,Clive is ready to travel to Gridania.
The Path Infernal,Clive seems somewhat bemused.
